,,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,MtdBlank001,MtdBlank002,MtdBlank003,MtdBlank004,MtdBlank005,MtdBlank006,MtdBlank007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
10.14_395.24,,,,395.2404,ESI (+),10.139,41625,15387,34811,7781,32289,30587,31920,25713,25796,41852,34781,31864,15070,22580,27259,24023,28993,26500,24657,26233,25907,26463,27120,29380,34479,26294,9007,27764,253127,33176,27797,18779,36250,22156,29420,16284,33891,26149,37987,27491,24160,25438,37839,23973,31742,38725,25161,33953,13405,25089,24716,35501,26446,29708,32051,33212,25566,20502,32167,26275,25631,34999,26695,27596,24845,33367,25515,26150,32595,35337,24564,42272,23506,26679,45483
10.98_978.85,,,,978.8474,ESI (+),10.98,74076,36100,34416,33632,19471,14663,5207,3372,10762,94444,11520,40413,23745,27895,26377,101062,41422,32148,96256,16236,31024,15260,82493,16313,30120,26324,103218,1485,53159,27060,64149,13942,13965,38265,11729,4199,16643,8499,19388,64648,12650,12485,14750,18075,43290,27337,44214,40543,12883,20962,20642,8190,25488,25691,1025,679,388,712,639,933,772,215,88,162,158,73,101,150,34801,35303,34373,36407,36803,35226,40260
5.46_832.58,,,,832.5817,ESI (+),5.465,8338,14082,12975,26574,47063,19516,4728,13251,18594,25221,26164,45291,3520,43933,5007,7889,38547,43640,39100,51540,41399,25263,45470,23507,43248,41765,38559,5003,46583,46006,30260,28190,18774,40613,9788,15153,46256,35620,40837,37244,49464,42871,34998,37085,41864,47222,39761,30455,43155,27532,42535,40916,35354,40738,8687,7052,2442,7450,7708,8031,8344,108,208,188,205,192,163,211,35012,32455,32997,32537,33149,35229,36254
9.59_938.82,,,,938.8182,ESI (+),9.591,109593,38453,36095,45771,39316,14910,6477,3883,14845,56887,9381,48210,8132,30221,18326,129283,40660,13670,87566,9142,23124,20350,64450,23552,36107,26464,96238,770,43940,17335,89487,16065,14644,39343,9588,5385,20453,4722,13928,41386,8949,8481,8287,14296,49673,22807,33755,42869,22344,28295,25483,14332,25017,32580,1499,1059,496,1215,1382,1234,1126,144,109,139,151,40,40,105,34595,33597,36524,21589,36835,37329,37673
11.17_575.50,,,,575.5049,ESI (+),11.166,73268,18127,24488,35196,20868,4337,2618,1427,5812,46865,4401,23278,1792,22955,9726,84206,27415,14323,72164,12396,30942,18537,71771,18685,34123,27681,71848,751,48695,32502,76373,15353,19716,45994,13512,3955,28083,20510,34440,57078,30671,28872,28804,30734,62415,44454,58818,50649,27971,48043,29010,16358,37937,32041,18053,13116,6259,15779,16277,16212,15404,151,54,108,155,141,185,133,39455,38738,39918,42600,42943,41279,43754
5.25_438.81,,,,438.8107,ESI (+),5.248,15466,43471,15572,28455,12441,40683,7964,25122,44476,31617,39059,90225,10382,53327,8836,11757,62421,53287,42180,48503,34647,36580,22794,25436,39205,47212,25902,7422,50004,50327,45815,43171,28454,42228,25009,32265,21268,17461,27776,25399,28428,30260,27967,21976,15042,20816,21185,21643,35889,22737,32207,37449,22479,30676,3.91,79,63,162,3.91,3.91,3.91,131,77,180,111,151,94,190,33018,29117,29942,31268,31692,32808,32196
4.61_805.56,,,,805.5576,ESI (+),4.614,14532,19122,26321,34208,57543,23474,11287,28570,24637,45280,65049,146266,17713,89261,16086,24221,58140,47199,15473,28623,22179,15568,23697,19481,24773,20742,17969,8259,22527,25406,22191,13276,25961,17408,6332,11925,78555,33774,31018,29713,41450,34889,38452,19511,35700,36771,24569,19759,30653,27364,42753,29868,23834,32694,2101,1939,1112,1758,1829,1872,1807,469,504,646,420,537,572,540,29007,27229,29138,26580,27447,31804,30986
5.57_790.57,,,,790.5737,ESI (+),5.567,4857,8870,6292,10962,22926,11001,1850,6153,17339,6446,15102,34518,1901,25182,3029,5063,17058,47846,35629,33803,35802,32283,39078,27793,40160,34838,28142,6327,49088,35592,46673,36591,46422,39079,13882,18097,48522,40010,38647,34326,54874,46408,59150,29208,44064,40089,33434,32123,54447,53761,89398,48374,43938,63761,27502,20926,9509,22192,23751,25153,25431,223,106,334,114,124,234,127,29470,27539,28475,26938,30065,32126,33810
10.27_953.76,,,,953.7581,ESI (+),10.27,61247,40583,39224,43038,27096,16903,10120,5867,14459,82440,13544,54090,26208,42321,36033,72540,53825,26531,57407,12230,28635,19739,54880,24207,30658,30847,58116,2585,39748,22448,61338,18238,17765,37859,12226,6820,30185,13293,21497,46673,16102,16399,19014,20326,52985,25391,40253,41972,19151,26718,27904,14096,30754,33960,2310,1964,983,2084,2121,2118,2215,213,110,248,213,187,74,176,36571,37653,37580,36925,38859,38103,39478
9.78_965.84,,,,965.8371,ESI (+),9.778,98900,40628,31058,44338,37424,17162,6483,4211,14347,75860,8673,50598,8713,31702,21612,131792,48221,16530,84858,7125,24502,18246,67049,20623,33874,26251,96046,941,44077,13182,77846,17678,14987,38651,10589,5693,16474,4913,13005,43758,8977,8871,7530,15445,48265,22140,36569,44084,18607,25201,23763,11678,26963,30518,1201,1105,551,999,1155,1110,1042,203,128,111,95,88,102,52,35261,35760,36238,35563,36081,39447,37845
5.01_1588.13,,,,1588.1314,ESI (+),5.013,21621,28505,22100,25028,44997,22536,4764,9770,18087,21614,22332,34807,4372,31120,7205,10842,32949,17633,36659,51067,33523,26508,43770,22078,56185,37850,34952,1902,54671,48621,21585,21516,19943,31690,5380,10730,52178,33963,42851,51206,46863,44173,38008,33644,39747,54657,34300,39559,46200,35983,36661,42743,36188,39562,715,572,170,577,1218,760,440,38,56,3.34,52,33,3.34,88,34544,32758,34186,31439,33181,33363,35782
11.15_195.12,,,,195.1237,ESI (+),11.151,54100,17771,29778,55551,36832,19195,14670,4811,23164,18011,51069,10862,13635,5570,29617,44341,27432,5317,11145,6692,33444,42321,27974,42411,31180,8665,41659,5723,61718,36349,9848,40145,35815,72991,100198,8678,45212,50178,36704,7124,59344,11491,27598,16377,7278,33428,52253,23279,22963,82931,6772,32854,13162,78029,52702,18468,23902,41568,12400,5894,6751,40631,13481,16605,30402,10273,4874,4967,64772,24905,36588,49011,20497,7017,7624
8.42_395.24,,,,395.2405,ESI (+),8.422,23826,13340,30473,34209,212134,34217,31214,22770,23790,31412,31636,29719,24536,21541,27222,24916,32221,24369,26168,26244,36606,16873,26863,50465,37237,23835,29169,27157,33140,32727,24694,22700,35405,27526,29374,19686,9762,23649,33357,24614,24341,24538,37325,22899,30556,35667,25709,26981,32425,23185,24593,33550,25160,27196,29923,25158,34592,19584,30265,24708,23910,30870,15187,34412,25474,34425,24517,24634,29546,33035,21218,33693,22224,25551,18280
9.55_847.68,,,,847.6811,ESI (+),9.555,88580,33841,35452,44877,49339,15756,10056,5520,19900,52728,12022,45966,5321,31017,17280,101598,36778,15674,79055,10447,24652,21891,60486,28769,37181,28855,78311,1828,44735,19404,83143,19721,19281,39567,14231,7405,22616,6168,17125,42688,11182,11111,9326,18200,49308,24746,36211,41657,22041,27724,27030,14369,25568,34653,4266,3466,1795,3468,3848,3894,3796,366,304,284,193,314,273,123,36793,34614,35704,31569,38226,37468,38153
10.45_881.76,,,,881.7626,ESI (+),10.449,99789,34985,31429,51914,29527,10465,4150,2005,8526,57421,6065,33710,4594,28304,13160,125311,44805,13433,96753,11218,26840,18935,75045,19769,39214,22181,98881,621,60350,30823,78256,16218,15188,54237,13870,4670,14196,4758,13491,42337,9885,9071,7799,10915,47418,24852,35695,41245,19947,29935,21502,11121,28288,26482,9794,7626,2787,7820,8144,7226,8259,124,115,157,64,59,117,81,37048,37240,36923,37149,36827,38412,39699
5.11_818.61,,,,818.6054,ESI (+),5.107,3.3,1948,1565,16016,59036,3710,784,6339,12736,8686,9807,34827,3.3,40977,3.3,1006,3.3,28376,38334,40524,38300,27298,36955,24711,40926,35664,35515,3848,51566,40636,33815,33568,46591,38552,13443,19871,62417,40743,61894,33569,66125,64289,51949,39977,71822,54824,48884,36298,35545,29002,47031,29700,45104,36472,452,323,74,929,280,1543,1283,70,78,179,3.3,73,110,74,31344,29935,30101,29583,29860,32969,33177
5.61_819.61,,,,819.6088,ESI (+),5.607,2863,5719,4439,11832,27049,9826,1677,6254,14898,8041,12464,44627,1436,37738,1609,3281,20307,40451,32190,42841,43879,23282,46629,19648,37820,32743,35202,4282,45457,35150,35020,29653,33949,24687,8124,10301,67153,51612,52972,35860,83464,62785,62471,39609,52416,51721,48957,31354,31640,37858,59620,28110,44548,42615,3418,2575,1350,2788,2779,2740,2851,63,59,85,171,137,146,64,27944,26868,35018,25012,33624,30089,28898
5.46_812.61,,,,812.6086,ESI (+),5.462,8005,13523,12057,21576,48054,14026,4664,11857,12410,19816,19445,32134,2153,45895,4180,5477,25443,33773,46169,48534,44732,18465,27962,21861,42828,45240,27450,3235,53093,47362,32011,32478,19858,31107,11271,20899,42819,35348,45744,34122,60989,38871,34986,38766,37083,53087,42688,26892,54041,35805,44616,53772,31017,55307,12580,9353,3016,9923,10302,10720,10218,134,120,141,168,56,55,137,31909,30281,30259,27868,29525,31335,32301
4.23_850.54,,,,850.5365,ESI (+),4.228,34107,35768,47784,26892,38127,61199,22885,26938,20581,71569,53187,53777,16847,29526,25793,21983,52039,15113,41920,46277,35436,29649,20823,33838,51669,27342,19519,6121,35565,37288,20270,21602,14476,26087,9975,15558,47931,16735,23357,38040,27251,23726,20293,18941,27525,31180,17445,25820,42886,21867,37294,43292,20789,39415,4.25,61,100,4.25,80,146,105,47,110,91,144,108,172,130,30256,28508,29726,28324,30355,32390,32715
10.99_979.85,,,,979.8508,ESI (+),10.994,63282,39577,34097,34404,21122,12325,5534,2942,11749,91071,8993,41945,14872,28254,28118,81877,44366,22954,86804,17123,29888,17229,74254,15583,32058,29038,93073,1418,52656,28079,63405,15759,14790,39068,10817,4827,18475,9300,20924,63795,13108,13829,16249,20803,44203,26202,44993,43538,15653,22535,19775,10087,26537,27733,2135,2090,836,2117,1968,2260,2072,88,85,109,140,132,184,131,35070,36299,34944,36690,37916,35653,36030
4.64_395.24,,,,395.2406,ESI (+),4.637,19185,15454,7087,30034,22850,20558,25886,21979,33220,25243,28465,26514,19364,19503,23563,21474,32194,19985,22297,23345,21032,19904,20250,26621,128730,21598,20634,25308,28575,28189,307849,28573,29696,41664,24607,13606,23629,22972,31120,23087,18966,21806,29946,20740,26626,25050,21196,10547,24228,25937,21310,26025,22362,25292,28815,26125,25599,28731,26998,22920,21960,27993,20107,27476,27003,22601,21972,22920,27913,30267,25391,28480,20541,23266,21546
11.20_956.85,,,,956.8519,ESI (+),11.199,102452,28670,39049,44649,30051,12540,8346,4672,13256,96629,12656,43747,10730,36447,26208,124342,48407,20665,61398,11451,20878,15395,61665,18387,24397,23145,49272,1834,35792,23268,77617,14814,17619,36196,10669,6391,17479,10662,19636,40312,13709,13223,12983,15755,52500,23502,40105,36194,20014,35161,25838,14614,27896,32066,3218,2115,1255,2577,2730,2572,2708,200,131,162,245,158,179,150,33916,33664,34078,35101,35628,34877,33987
10.74_977.84,,,,977.8352,ESI (+),10.741,76698,42453,36423,45254,26531,12257,6955,3827,12364,94963,9527,42785,12467,32196,24874,92093,54675,26583,69577,11075,27973,16990,58789,15688,34623,26585,65253,1412,51776,23563,60844,15051,12555,41802,10987,5031,18388,10726,21644,51410,15814,13664,15985,19401,46050,25551,39993,41897,16264,23224,20808,10945,29026,30046,2198,2034,979,2058,1375,2156,2020,212,99,146,138,145,110,55,36962,36892,37195,37849,38129,38427,37443
9.27_966.76,,,,966.7579,ESI (+),9.272,39584,21883,25692,36292,22291,9344,3644,5665,12612,84495,9036,74589,26729,39905,37546,95662,35705,18874,73731,6294,22494,10718,71387,13447,24842,29470,141292,2379,30011,10693,70689,11593,10203,24298,5901,4028,24447,10015,16968,60243,16001,10885,14141,18804,72146,21188,47169,59694,11369,20509,23931,8633,19923,33754,238,259,84,74,92,177,3.84,150,127,221,88,113,151,114,30997,31208,31913,31697,32055,31906,33207
9.95_975.74,,,,975.7405,ESI (+),9.948,30896,53074,29503,35440,23910,14925,6410,6991,15007,75147,11628,58244,51274,38869,56030,57696,45260,34409,58551,11893,32006,15615,53969,15898,31459,33055,78481,3248,39652,17796,42535,16699,12602,26911,9974,5731,26051,12605,20895,59672,17844,15575,17918,25090,43685,24931,43769,48955,15366,21393,25989,11736,26353,30053,1040,933,614,1004,999,954,1030,249,202,253,211,190,210,165,35929,35787,35268,36585,38584,39337,34616
9.12_943.75,,,,943.7544,ESI (+),9.124,88711,55702,31325,44428,36930,20069,8737,5995,16776,71404,12804,61779,19391,32691,27074,88554,47509,17188,68839,8824,19579,14171,52159,19878,26047,23969,78938,1282,32855,12328,66665,13141,11443,26012,6749,5164,28650,5774,15193,48258,10673,9857,10343,17496,50408,18544,34688,45480,20487,29122,29106,17143,21991,42158,7.19,7.19,7.19,376,7.19,7.19,7.19,182,72,123,165,94,119,7.19,32764,32877,31570,32641,33538,34769,34507
9.88_897.77,,,,897.7662,ESI (+),9.876,48852,25679,16897,32192,24742,8401,3474,3453,12633,45868,6075,38467,4050,20056,10145,85850,21281,12587,99677,10304,25641,14232,86175,14344,29634,25974,182718,1367,44010,20792,57996,12752,12529,32625,9567,4477,25170,10211,24432,72035,15752,14712,15157,20661,48626,29856,47575,54990,18631,32506,23141,12941,26438,30353,1524,1297,969,1784,1565,1352,1375,247,184,218,60,254,247,123,32407,31474,32123,32225,33238,33785,33692
10.37_975.82,,,,975.8193,ESI (+),10.368,79146,40538,35360,41525,26359,15568,8596,4953,14338,99227,10591,51219,18799,35104,28634,95851,57204,22413,72700,10667,20832,13450,54903,16037,26561,23800,71644,1547,39599,20307,63545,12886,10568,31323,9001,5128,20529,9845,18322,51334,13410,13058,14822,16464,49455,22135,38691,43280,15799,23648,21149,11694,22818,29480,1796,1489,751,1649,1631,1501,1223,181,112,48,189,141,143,119,34211,33062,33115,33516,32289,34097,34746
5.01_844.53,,,,844.5272,ESI (+),5.006,32896,34821,34383,33347,31423,32242,27328,30734,28901,33256,33977,29510,24601,28940,30871,35961,30920,30062,28277,29189,29543,29371,30001,30376,31227,30692,30464,14480,29650,29645,31615,31827,32988,31704,21443,25043,27105,31244,29204,28795,29063,28907,29494,30278,30522,30226,29397,31496,32858,31300,28942,32031,30594,31782,9184,6877,1577,7974,8375,7895,8292,97,67,111,151,3.98,125,131,31572,31647,31584,33390,30378,31512,31489
10.00_873.70,,,,873.6981,ESI (+),9.996,27403,23224,25110,35066,31044,10270,6558,6808,19367,54916,9239,50166,4959,36333,16542,49339,29472,23868,54346,8683,29202,19890,73327,25687,33946,37105,73965,3257,38386,12241,72078,18647,20324,33563,12802,8319,29262,12369,22909,60945,18614,14886,14256,29131,64868,33489,54541,57411,21711,31500,34773,15554,34035,38965,1434,809,630,894,1054,1462,1367,470,189,118,126,234,314,177,36712,36997,36074,38068,38384,38869,35491
10.33_547.47,,,,547.4715,ESI (+),10.332,48261,14955,16510,29341,24760,4031,2945,1850,7294,48284,3827,27716,1406,17412,7059,90851,17154,8791,87182,7824,22025,12907,94184,13782,28440,23069,143668,794,43543,32600,78110,9863,12637,33799,7358,2939,31018,17850,36702,73603,22296,18937,22803,21900,66493,41745,63917,51194,15824,33171,20699,9639,25064,24374,12691,9371,3970,10458,11077,11088,11206,115,148,173,144,77,220,135,32308,33441,32574,33618,34281,34809,34494
4.86_784.58,,,,784.5753,ESI (+),4.855,19710,16001,19440,19393,59034,27389,9372,14201,15452,22477,25535,36937,3365,25309,6544,6100,19677,12626,72700,55346,44555,24172,18317,33063,45823,30364,18671,2975,47645,48741,18714,18990,9187,19893,8708,15164,63170,39042,59003,63530,71719,21760,38032,22091,38431,46562,26991,21329,42127,26896,35702,47814,21313,41640,75567,60603,25712,63208,65878,67958,66245,144,82,74,16,214,181,180,30383,28315,29068,27140,28873,30508,31409
5.67_762.60,,,,762.6008,ESI (+),5.669,2976,11794,5348,15657,42243,10597,1322,6472,11751,14771,11731,41312,1284,27238,2492,5843,21256,63728,56988,74486,45246,16393,73084,11085,71032,65604,60355,3106,63951,59084,38606,24783,21629,33245,11838,10953,43492,26600,35104,35049,46440,38730,29922,31670,23616,37378,23621,31850,28451,24163,33766,16651,39511,32128,204,656,245,653,510,300,480,176,18,90,81,106,132,166,31296,29245,30302,27584,27982,29474,31279
10.87_972.89,,,,972.8922,ESI (+),10.871,91377,32138,32823,43549,27620,14809,6305,2915,11892,49287,8930,32633,7001,30531,17253,100174,42849,16655,82259,12622,26645,21422,66622,23087,36144,26978,70861,666,49907,26941,68783,19182,18877,46543,17245,7105,15840,7953,16304,38318,13911,13628,12737,14951,42059,27793,33574,39356,23221,29973,20056,13886,28438,26997,17153,12976,5778,12331,13274,15455,14582,176,59,45,149,85,9,162,35224,35644,34658,38998,37632,37400,38077
5.07_842.61,,,,842.6066,ESI (+),5.066,4556,10541,8944,18124,31891,17476,3517,15647,28867,13848,24836,41472,2004,44275,2076,5927,20255,50266,34887,38309,36256,32900,32173,37888,37012,39481,30222,8563,40907,37984,42111,37162,34878,33127,18113,21556,41876,31524,39916,26304,50597,38094,45387,30635,33660,33373,30468,31972,31991,36685,44377,36582,43698,44136,828,1108,387,744,1200,1025,1358,58,91,105,77,94,51,90,31586,29568,29563,28826,29889,30860,32054
5.44_852.63,,,,852.6264,ESI (+),5.438,27626,30077,35086,29391,41772,36039,3409,20530,35147,32022,36727,44280,591,29613,12902,12659,47732,31957,35952,47202,34527,36403,47131,28296,41696,34358,41377,1342,42647,43188,31164,28544,33057,45764,23591,32853,27442,18611,27659,27311,25645,31208,22135,22779,23833,26935,21571,24722,25839,24705,24212,35386,26374,25211,6984,5134,544,5120,5740,5758,6092,2.76,47,38,44,53,88,92,33080,34798,33344,31332,28333,32736,30517
4.54_792.56,,,,792.5552,ESI (+),4.535,19331,29586,18850,25326,39726,29439,7273,15623,26723,26119,29108,73922,8240,36909,12836,9812,34547,28463,35133,42840,33941,22032,26512,19315,34755,27167,25846,4985,38849,36803,25920,24991,21996,28594,12393,16156,52349,22977,31223,34481,43108,35290,31896,22555,21475,37185,24848,26399,50097,35450,50028,45943,27294,54926,415,451,442,409,585,629,277,92,221,210,126,81,61,180,30290,26988,27984,25571,26734,28527,30283
10.48_649.52,,,,649.5186,ESI (+),10.479,56967,26156,25175,37701,14964,6018,1878,1444,5826,62468,4580,34082,9004,29935,18393,82612,34437,19719,78308,6453,30047,14656,101823,14169,34656,27707,125503,607,57509,14600,72810,14242,13257,47044,10102,2856,15540,6046,13064,67636,10135,8675,8298,11903,54066,27503,51517,54831,11490,24405,22278,6169,34733,26803,963,642,443,843,921,766,804,108,92,119,85,80,50,122,35229,36188,38093,37810,37961,37825,39679
6.39_787.66,,,,787.6597,ESI (+),6.386,12251,19660,21833,16872,27907,16354,8340,17942,24678,21407,29226,47680,7183,32683,13485,13944,34160,51559,26160,29281,28552,33536,39066,31818,53400,24118,30925,8288,60372,49315,30403,23910,39245,31913,12394,14851,55909,26288,33109,26516,44889,38109,37650,17834,34755,37837,27231,32006,29747,28691,44275,29370,34892,27094,9505,7653,3768,7927,8497,8426,8741,124,160,160,87,259,220,154,30682,28477,28451,27020,27824,29600,30275
10.96_957.78,,,,957.7841,ESI (+),10.956,64425,38724,41526,40850,25712,15257,8944,3313,9668,63438,8813,39789,10727,38334,36647,67053,46921,28506,53866,12898,32726,14646,63435,13764,32696,32988,61076,1422,44914,20763,60856,20176,21103,42002,16130,4866,16600,7971,17856,45431,10609,14908,11132,16991,48436,22075,42213,43391,14306,28567,28461,9447,33786,33170,3758,2706,1455,3181,3203,3517,3574,301,118,151,186,155,262,89,38086,37977,27846,38448,40659,38531,39052
10.86_906.85,,,,906.8478,ESI (+),10.855,70096,32374,25995,39051,34608,13085,4596,2881,12530,47697,6311,32413,3435,24837,11360,93533,36124,14421,96501,8782,31718,23032,70840,23870,39989,28717,91135,770,52905,18973,69764,19562,18025,43936,16998,7080,14980,5976,14977,47118,12161,11391,10144,17273,38347,28468,37846,43417,21648,24762,19346,12554,25969,26163,454,323,669,1257,331,9.7,326,352,186,245,186,253,146,97,33899,35363,35199,37797,38358,39255,36892
5.59_395.24,,,,395.2407,ESI (+),5.587,18789,16459,30162,29847,23431,91263,26174,22162,33410,25295,29380,26985,20576,19509,22841,22206,32713,22482,21947,21916,21886,18852,21829,28015,23155,21562,27150,24403,28067,27603,12874,223637,29614,25518,26297,20550,24977,24489,26500,22990,20545,22552,32734,20253,26746,26020,24197,25977,22006,23500,21923,28074,22772,25324,29029,37715,26482,38557,27541,22824,23236,29179,20183,27884,35710,23551,21910,22161,27973,32077,29208,30061,21068,22499,19041
10.89_981.79,,,,981.7908,ESI (+),10.893,44319,37820,51370,37076,24205,15656,8392,6525,14581,83854,15294,50267,50453,46421,64715,57343,48788,32952,37120,10578,26204,15118,44561,18580,23798,29344,45447,2751,31726,15204,45419,16539,19133,30635,11034,6433,22289,11771,19719,43630,15684,14444,16025,20602,49900,23520,41284,37008,18453,26233,28228,12408,29263,28935,685,548,333,565,563,597,486,150,147,231,247,242,189,165,33857,34676,35518,35412,36599,34341,36480
